iter	Passed	Remaining
168	8144	40048
169	8185	39966
170	8245	39971
171	8291	39914
172	8333	39837
173	8375	39757
174	8417	39681
175	8459	39605
176	8500	39525
177	8543	39451
178	8583	39367
179	8625	39295
180	8669	39229
181	8710	39148
182	8750	39067
183	8790	38985
184	8830	38902
185	8871	38826
186	8912	38746
187	8956	38682
188	8998	38610
189	9038	38530
190	9077	38449
191	9119	38378
192	9160	38302
193	9202	38233
194	9244	38163
195	9283	38081
196	9323	38005
197	9364	37929
198	9406	37861
199	9449	37797
200	9490	37727
201	9532	37656
202	9576	37596
203	9617	37525
204	9658	37456
205	9699	37387
206	9744	37329
207	9789	37274
208	9830	37206
209	9872	37138
210	9912	37064
211	9954	36999
212	9997	36939
213	10040	36877
214	10089	36838
215	10131	36774
216	10172	36706
217	10214	36639
218	10255	36572
219	10296	36505
220	10336	36435
221	10378	36372
222	10418	36300
223	10458	36232
224	10501	36172
225	10541	36101
226	10582	36036
227	10623	35971
228	10663	35903
229	10708	35849
230	10786	35909
231	10835	35868
232	10878	35809
233	10923	35759
234	10964	35693
235	11008	35636
236	11050	35575
237	11092	35514
238	11136	35461
239	11185	35422
240	11256	35451
241	11308	35421
242	11363	35399
243	11422	35392
244	11493	35419
245	11539	35367
246	11580	35304
247	11624	35247
248	11665	35183
249	11708	35126
250	11750	35064
251	11793	35006
252	11834	34942
253	11875	34879
254	11918	34822
255	11959	34758
256	12002	34700
257	12042	34633
258	12083	34570
259	12124	34507
260	12163	34439
261	12204	34378
262	12245	34315
263	12285	34250
264	12329	34196
265	12368	34130
266	12411	34072
267	12451	34010
268	12500	33969
269	12543	33912
270	12581	33845
271	12621	33780
272	12663	33724
273	12705	33663
274	12747	33606
275	12789	33548
276	12835	33502
277	12885	33464
278	12933	33424
279	12984	33389
280	13032	33346
281	13073	33285
282	13116	33231
283	13157	33172
284	13201	33118
285	13242	33059
286	13283	32999
287	13323	32939
288	13363	32877
289	13405	32819
290	13446	32761
291	13487	32703
292	13529	32645
293	13570	32587
294	13611	32528
295	13663	32496
296	13722	32480
297	13776	32452
298	13829	32423
299	13896	32425
300	13946	32386
301	13988	32330
302	14037	32291
303	14089	32257
304	14142	32226
305	14200	32207
306	14257	32184
307	14304	32137
308	14352	32095
309	14396	32043
310	14444	32001
311	14506	31989
312	14552	31941
313	14598	31893
314	14642	31841
315	14687	31792
316	14730	31738
317	14779	31697
318	14821	31640
319	14863	31585
320	14906	31530
321	14948	31476
322	14989	31418
323	15029	31357
324	15070	31300
325	15112	31244
326	15152	31184
327	15195	31132
328	15274	31152
329	15322	31109
330	15362	31050
331	15407	30999
332	15458	30963
333	15504	30916
334	15545	30858
335	15587	30803
336	15629	30749
337	15676	30703
338	15718	30648
339	15759	30592
340	15799	30533
341	15843	30482
342	15883	30423
343	15925	30370
344	15966	30313
345	16007	30257
346	16059	30221
347	16110	30183
348	16159	30142
349	16206	30096
350	16248	30042
351	16290	29989
352	16343	29955
353	16391	29912
354	16438	29867
355	16488	29826
356	16536	29783
357	16584	29741
358	16628	29689
359	16670	29636
360	16712	29582
361	16756	29531
362	16798	29477
363	16841	29427
364	16884	29374
365	16928	29323
366	16970	29270
367	17013	29218
368	17054	29164
369	17095	29108
370	17137	29054
371	17178	29000
372	17221	28948
373	17264	28896
374	17304	28840
375	17344	28784
376	17385	28729
377	17425	28674
378	17471	28626
379	17520	28585
380	17569	28544
381	17667	28582
382	17722	28549
383	17772	28510
384	17822	28470
385	17870	28425
386	17915	28378
387	17961	28331
388	18007	28284
389	18052	28236
390	18097	28187
391	18143	28140
392	18186	28090
393	18228	28036
394	18272	27987
395	18314	27934
396	18356	27881
397	18398	27829
398	18441	27777
399	18480	27721
400	18520	27665
401	18563	27614
402	18605	27562
403	18647	27509
404	18687	27454
405	18729	27401
406	18774	27354
407	18814	27300
408	18855	27246
409	18895	27190
410	18939	27141
411	18979	27087
412	19020	27034
413	19060	26979
414	19101	26925
415	19142	26872
416	19182	26819
417	19222	26764
418	19263	26711
419	19304	26658
420	19346	26607
421	19390	26558
422	19430	26504
423	19473	26454
424	19515	26403
425	19557	26351
426	19601	26303
427	19642	26250
428	19684	26199
429	19724	26146
430	19813	26157
431	19864	26118
432	19907	26068
433	19955	26024
434	20005	25983
435	20057	25945
436	20100	25896
437	20143	25846
438	20185	25795
439	20231	25748
440	20271	25695
441	20311	25641
442	20352	25589
443	20395	25540
444	20436	25488
445	20477	25436
446	20518	25383
447	20561	25335
448	20603	25284
449	20646	25234
450	20688	25184
451	20729	25132
452	20772	25083
453	20813	25031
454	20857	24983
455	20899	24932
456	20941	24881
457	20981	24830
458	21021	24777
459	21063	24726
460	21104	24674
461	21144	24623
462	21182	24568
463	21226	24519
464	21266	24467
465	21307	24416
466	21349	24367
467	21398	24324
468	21451	24287
469	21499	24243
470	21548	24201
471	21597	24160
472	21642	24113
473	21692	24072
474	21742	24031
475	21790	23987
476	21837	23943
477	21882	23896
478	21930	23852
479	21975	23806
480	22019	23758
481	22061	23709
482	22105	23661
483	22150	23614
484	22192	23564
485	22235	23516
486	22275	23464
487	22315	23412
488	22356	23361
489	22395	23309
490	22433	23256
491	22473	23204
492	22514	23153
493	22552	23100
494	22592	23049
495	22633	22998
496	22673	22947
497	22716	22898
498	22754	22846
499	22794	22794
500	22835	22744
501	22884	22702
502	22926	22653
503	22970	22605
504	23013	22557
505	23063	22516
506	23110	22472
507	23168	22439
